,accuracy,f1_score,precision,recall,specificity,roc_auc
LOGIT,0.808 (0.019),0.793 (0.021),0.799 (0.045),0.792 (0.054),0.823 (0.055),0.886 (0.02)
SVM,0.795 (0.038),0.779 (0.038),0.788 (0.068),0.778 (0.064),0.811 (0.083),0.877 (0.024)
RFC,0.789 (0.045),0.779 (0.035),0.772 (0.075),0.792 (0.034),0.787 (0.101),0.868 (0.032)
KNN,0.789 (0.04),0.772 (0.037),0.784 (0.073),0.768 (0.056),0.808 (0.089),0.865 (0.017)
