,accuracy,f1_score,precision,recall,specificity,roc_auc
LOGIT,0.811 (0.017),0.798 (0.018),0.795 (0.028),0.802 (0.033),0.819 (0.033),0.885 (0.016)
SVM,0.806 (0.024),0.793 (0.029),0.788 (0.034),0.802 (0.054),0.811 (0.042),0.882 (0.02)
RFC,0.792 (0.028),0.78 (0.022),0.772 (0.051),0.792 (0.021),0.793 (0.062),0.884 (0.02)
KNN,0.789 (0.016),0.774 (0.015),0.772 (0.034),0.778 (0.025),0.798 (0.039),0.863 (0.017)
