,accuracy,f1_score,precision,recall,specificity,roc_auc
SVM,0.841 (0.026),0.738 (0.059),0.753 (0.049),0.728 (0.088),0.892 (0.022),0.918 (0.026)
KNN,0.836 (0.056),0.718 (0.108),0.771 (0.095),0.682 (0.136),0.906 (0.048),0.893 (0.034)
LOGIT,0.826 (0.035),0.706 (0.062),0.75 (0.067),0.667 (0.06),0.899 (0.026),0.907 (0.024)
RFC,0.816 (0.024),0.693 (0.044),0.729 (0.061),0.665 (0.064),0.884 (0.035),0.866 (0.039)
