,accuracy,f1_score,precision,recall,specificity,roc_auc
SVM,0.811 (0.023),0.805 (0.016),0.781 (0.047),0.834 (0.031),0.793 (0.065),0.888 (0.022)
LOGIT,0.805 (0.022),0.784 (0.03),0.805 (0.031),0.767 (0.052),0.838 (0.034),0.884 (0.018)
RFC,0.787 (0.032),0.775 (0.028),0.766 (0.056),0.788 (0.029),0.787 (0.069),0.882 (0.025)
KNN,0.782 (0.017),0.769 (0.017),0.759 (0.03),0.781 (0.033),0.783 (0.038),0.86 (0.014)
