,accuracy,f1_score,precision,recall,specificity,roc_auc
LOGIT,0.831 (0.043),0.72 (0.074),0.754 (0.094),0.697 (0.095),0.892 (0.05),0.905 (0.018)
SVM,0.796 (0.028),0.687 (0.057),0.667 (0.053),0.729 (0.152),0.827 (0.075),0.9 (0.03)
KNN,0.801 (0.025),0.675 (0.044),0.702 (0.06),0.665 (0.099),0.863 (0.061),0.853 (0.024)
RFC,0.781 (0.028),0.624 (0.054),0.691 (0.102),0.586 (0.095),0.87 (0.062),0.876 (0.046)
