,accuracy,f1_score,precision,recall,specificity,roc_auc
SVM,0.826 (0.068),0.735 (0.088),0.725 (0.113),0.759 (0.096),0.856 (0.093),0.888 (0.044)
LOGIT,0.776 (0.053),0.732 (0.053),0.592 (0.062),0.967 (0.041),0.689 (0.075),0.908 (0.024)
RFC,0.801 (0.036),0.676 (0.062),0.691 (0.075),0.665 (0.064),0.863 (0.041),0.851 (0.051)
KNN,0.806 (0.056),0.671 (0.101),0.722 (0.119),0.649 (0.139),0.878 (0.066),0.873 (0.054)
