,accuracy,f1_score,precision,recall,specificity,roc_auc
LOGIT,0.811 (0.045),0.793 (0.048),0.811 (0.06),0.778 (0.049),0.841 (0.06),0.885 (0.042)
RFC,0.781 (0.055),0.765 (0.05),0.773 (0.085),0.764 (0.054),0.796 (0.1),0.872 (0.052)
KNN,0.684 (0.064),0.645 (0.088),0.675 (0.082),0.633 (0.13),0.73 (0.107),0.745 (0.067)
SVM,0.774 (0.065),0.756 (0.069),0.764 (0.079),0.754 (0.077),0.793 (0.087),0.865 (0.05)
