,accuracy,f1_score,precision,recall,specificity,roc_auc
SVM,0.81 (0.011),0.799 (0.003),0.79 (0.048),0.813 (0.047),0.808 (0.061),0.889 (0.025)
LOGIT,0.806 (0.018),0.785 (0.024),0.811 (0.034),0.764 (0.052),0.844 (0.039),0.886 (0.019)
RFC,0.781 (0.028),0.77 (0.021),0.758 (0.056),0.788 (0.049),0.775 (0.081),0.881 (0.025)
KNN,0.763 (0.035),0.739 (0.037),0.765 (0.071),0.726 (0.074),0.796 (0.093),0.847 (0.019)
