,accuracy,f1_score,precision,recall,specificity,roc_auc
LOGIT,0.836 (0.045),0.715 (0.09),0.785 (0.099),0.686 (0.163),0.907 (0.056),0.909 (0.04)
RFC,0.791 (0.07),0.624 (0.146),0.705 (0.163),0.583 (0.19),0.885 (0.065),0.865 (0.067)
KNN,0.741 (0.092),0.561 (0.169),0.63 (0.21),0.552 (0.21),0.826 (0.114),0.788 (0.12)
SVM,0.786 (0.044),0.57 (0.097),0.788 (0.159),0.46 (0.098),0.935 (0.05),0.885 (0.058)
